#              step               time            E_total                m_x                m_y                m_z             E_exch            E_demag          zeeman_Hx          zeeman_Hy          zeeman_Hz           E_zeeman 
#                <>                <s>                <J>                 <>                 <>                 <>                  J                  J              <A/m>              <A/m>              <A/m>                  J 
                76 7.600000000000e-10 -2.173596768538e-18 -9.607655882644e-01 1.800066505079e-01 -6.023104957886e-02 1.645707524428e-19 1.323161789293e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.661329310273e-18 
                77 7.700000000000e-10 -2.214398132024e-18 -9.725304339420e-01 7.156346771062e-02 -6.453962257793e-02 1.524202891629e-19 1.267977316733e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.634795737919e-18 
                78 7.800000000000e-10 -2.253908988059e-18 -9.749611956172e-01 -3.441227796600e-02 -5.737451888364e-02 1.315040133836e-19 1.189997891096e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.575410892539e-18 
                79 7.900000000000e-10 -2.287761983431e-18 -9.690559865209e-01 -1.182438386904e-01 -3.920599920267e-02 1.198790122284e-19 1.091908318647e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.499549314307e-18 
                80 8.000000000000e-10 -2.312320127287e-18 -9.612009793145e-01 -1.640648160565e-01 -1.341308408175e-02 1.428297347264e-19 9.858599453001e-19 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.441009807314e-18 
                81 8.100000000000e-10 -2.330344315571e-18 -9.593023187110e-01 -1.640046449524e-01 1.482887234374e-02 1.853167226896e-19 9.183815217887e-19 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.434042560049e-18 
                82 8.200000000000e-10 -2.349251208095e-18 -9.656970577412e-01 -1.180221031117e-01 4.030875539303e-02 2.113901096662e-19 9.266565687966e-19 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.487297886558e-18 
                83 8.300000000000e-10 -2.375949133320e-18 -9.746248744161e-01 -3.335753299067e-02 5.862923223679e-02 1.944541550605e-19 1.004446889436e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.574850177816e-18 
                84 8.400000000000e-10 -2.410243690780e-18 -9.762215457660e-01 7.515113311144e-02 6.674438938645e-02 1.627314228837e-19 1.077754871070e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.650729984733e-18 
                85 8.500000000000e-10 -2.445190862175e-18 -9.655655093039e-01 1.878147127408e-01 6.368771219325e-02 1.377337419182e-19 1.101152614957e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.684077219049e-18 
                86 8.600000000000e-10 -2.474463035499e-18 -9.462021778196e-01 2.855637442514e-01 5.077998485545e-02 1.149643904118e-19 1.086247225285e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.675674651197e-18 
                87 8.700000000000e-10 -2.495965180401e-18 -9.263505581036e-01 3.542761631764e-01 3.097123088803e-02 1.003735494796e-19 1.050402954770e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.646741684651e-18 
                88 8.800000000000e-10 -2.510921273183e-18 -9.142174128356e-01 3.860228007327e-01 7.723009159523e-03 1.129575049753e-19 9.985681816776e-19 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.622446959836e-18 
                89 8.900000000000e-10 -2.522393634786e-18 -9.153462621032e-01 3.788262708380e-01 -1.560375215607e-02 1.303616526513e-19 9.692153644141e-19 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.621970651852e-18 
                90 9.000000000000e-10 -2.537132667662e-18 -9.291768731623e-01 3.353051524451e-01 -3.559681369074e-02 1.234161933955e-19 9.843856242382e-19 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.644934485296e-18 
                91 9.100000000000e-10 -2.558674791613e-18 -9.482115813443e-01 2.620818939723e-01 -4.932230087593e-02 1.119638712155e-19 9.973048939446e-19 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.667943556773e-18 
                92 9.200000000000e-10 -2.585026427028e-18 -9.634402448523e-01 1.711577616804e-01 -5.481137968487e-02 1.152509508853e-19 9.652138818761e-19 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.665491259789e-18 
                93 9.300000000000e-10 -2.610483973209e-18 -9.703093359677e-01 7.811477234699e-02 -5.153068750279e-02 1.319830593071e-19 8.883584453687e-19 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.630825477885e-18 
                94 9.400000000000e-10 -2.630867051958e-18 -9.705102871285e-01 -1.576231843111e-03 -4.027957955312e-02 1.358480488969e-19 8.134511891109e-19 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.580166289965e-18 
                95 9.500000000000e-10 -2.645411025633e-18 -9.685597402672e-01 -5.529020168938e-02 -2.309086196827e-02 1.327116329371e-19 7.602006029260e-19 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.538323261496e-18 
                96 9.600000000000e-10 -2.655047606627e-18 -9.693592153135e-01 -7.568221742400e-02 -2.962312404495e-03 1.322780414983e-19 7.407948261428e-19 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.528120474268e-18 
                97 9.700000000000e-10 -2.664109452340e-18 -9.753591255230e-01 -6.135554878622e-02 1.676158115625e-02 1.210299060390e-19 7.743614858336e-19 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.559500844213e-18 
                98 9.800000000000e-10 -2.677433597846e-18 -9.836499104677e-01 -1.607103902022e-02 3.277882831359e-02 1.014659926427e-19 8.404027589693e-19 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.619302349458e-18 
                99 9.900000000000e-10 -2.696092881190e-18 -9.880836524330e-01 5.136365441782e-02 4.215939351885e-02 8.390276950558e-20 8.991625838812e-19 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.679158234577e-18 
               100 1.000000000000e-09 -2.716364114023e-18 -9.845061553827e-01 1.274360634391e-01 4.315351944207e-02 7.187069622284e-20 9.267891640349e-19 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.715023974280e-18 
