#               step                time             E_total                 m_x                 m_y                 m_z              E_exch             E_demag 
#         <unitless>                 <s>                 <J>          <unitless>          <unitless>          <unitless>                 <J>                 <J> 
               116 +5.800000000000e-09 +3.830810482268e-18 -2.076360581479e-01 +1.811753021495e-02 +2.158017557565e-02 +2.718253100804e-18 +1.112557381464e-18 
               117 +5.850000000000e-09 +3.831566761085e-18 -2.082911984349e-01 +1.714875241903e-02 +2.155634021773e-02 +2.718383752819e-18 +1.113183008266e-18 
               118 +5.900000000000e-09 +3.831958187761e-18 -2.086836065197e-01 +1.606323105152e-02 +2.154027528494e-02 +2.718507278427e-18 +1.113450909335e-18 
               119 +5.950000000000e-09 +3.831972800997e-18 -2.087975236685e-01 +1.493954713252e-02 +2.153288949871e-02 +2.718615171983e-18 +1.113357629013e-18 
               120 +6.000000000000e-09 +3.831624296412e-18 -2.086360414789e-01 +1.385710295522e-02 +2.153443482738e-02 +2.718699787110e-18 +1.112924509301e-18 
               121 +6.050000000000e-09 +3.830952011040e-18 -2.082218155145e-01 +1.288896432006e-02 +2.154442993838e-02 +2.718755547683e-18 +1.112196463357e-18 
               122 +6.100000000000e-09 +3.830017950966e-18 -2.075955411950e-01 +1.209534880514e-02 +2.156168414806e-02 +2.718779918405e-18 +1.111238032561e-18 
               123 +6.150000000000e-09 +3.828900988017e-18 -2.068121594014e-01 +1.151880068003e-02 +2.158443669790e-02 +2.718773722345e-18 +1.110127265672e-18 
               124 +6.200000000000e-09 +3.827689146935e-18 -2.059353967823e-01 +1.118177216981e-02 +2.161058596429e-02 +2.718740690076e-18 +1.108948456859e-18 
               125 +6.250000000000e-09 +3.826471343154e-18 -2.050316276403e-01 +1.108678879400e-02 +2.163795287914e-02 +2.718686452939e-18 +1.107784890215e-18 
               126 +6.300000000000e-09 +3.825329868645e-18 -2.041640507568e-01 +1.121880169876e-02 +2.166451707250e-02 +2.718617380851e-18 +1.106712487793e-18 
               127 +6.350000000000e-09 +3.824334508574e-18 -2.033879063855e-01 +1.154893618718e-02 +2.168858255337e-02 +2.718539647014e-18 +1.105794861560e-18 
               128 +6.400000000000e-09 +3.823538666426e-18 -2.027471046217e-01 +1.203875189572e-02 +2.170885960206e-02 +2.718458722951e-18 +1.105079943476e-18 
               129 +6.450000000000e-09 +3.822977471932e-18 -2.022723351232e-01 +1.264430363888e-02 +2.172447589901e-02 +2.718379282099e-18 +1.104598189833e-18 
               130 +6.500000000000e-09 +3.822667605405e-18 -2.019805268464e-01 +1.331959545009e-02 +2.173494346794e-02 +2.718305334299e-18 +1.104362271107e-18 
               131 +6.550000000000e-09 +3.822608463715e-18 -2.018754138200e-01 +1.401930934969e-02 +2.174010803156e-02 +2.718240380669e-18 +1.104368083045e-18 
               132 +6.600000000000e-09 +3.822784269160e-18 -2.019489140724e-01 +1.470088263596e-02 +2.174009891493e-02 +2.718187449651e-18 +1.104596819508e-18 
               133 +6.650000000000e-09 +3.823166749163e-18 -2.021830263523e-01 +1.532609106065e-02 +2.173528709387e-02 +2.718148987751e-18 +1.105017761412e-18 
               134 +6.700000000000e-09 +3.823718073934e-18 -2.025519830611e-01 +1.586229785155e-02 +2.172625081094e-02 +2.718126666171e-18 +1.105591407763e-18 
               135 +6.750000000000e-09 +3.824393822270e-18 -2.030244575130e-01 +1.628348482351e-02 +2.171374403577e-02 +2.718121199373e-18 +1.106272622898e-18 
               136 +6.800000000000e-09 +3.825145832147e-18 -2.035656951341e-01 +1.657111788759e-02 +2.169866249254e-02 +2.718132251125e-18 +1.107013581022e-18 
