#              step               time            E_total                m_x                m_y                m_z 
#                                    s                  J                                                          
                93 4.600000000000e-09 3.838084026130e-18 -2.125589499389e-01 2.124051333286e-02 2.143695727293e-02 
                93 4.600000000000e-09 3.838084026130e-18 -2.125589499389e-01 2.124051333286e-02 2.143695727293e-02 
                94 4.650000000000e-09 3.839065106748e-18 -2.135303504809e-01 1.873720023402e-02 2.139718206453e-02 
                94 4.650000000000e-09 3.839065106748e-18 -2.135303504809e-01 1.873720023402e-02 2.139718206453e-02 
                95 4.700000000000e-09 3.839217743068e-18 -2.138976956720e-01 1.609822460630e-02 2.137595437620e-02 
                95 4.700000000000e-09 3.839217743068e-18 -2.138976956720e-01 1.609822460630e-02 2.137595437620e-02 
                96 4.750000000000e-09 3.838529015082e-18 -2.136324659155e-01 1.352257315424e-02 2.137559933316e-02 
                96 4.750000000000e-09 3.838529015082e-18 -2.136324659155e-01 1.352257315424e-02 2.137559933316e-02 
                97 4.800000000000e-09 3.837057092675e-18 -2.127590158773e-01 1.120355466554e-02 2.139646362682e-02 
                97 4.800000000000e-09 3.837057092675e-18 -2.127590158773e-01 1.120355466554e-02 2.139646362682e-02 
                98 4.850000000000e-09 3.834934329137e-18 -2.113597004627e-01 9.305212443645e-03 2.143631529844e-02 
                98 4.850000000000e-09 3.834934329137e-18 -2.113597004627e-01 9.305212443645e-03 2.143631529844e-02 
                99 4.900000000000e-09 3.832352714134e-18 -2.095661518935e-01 7.942150253303e-03 2.149051757463e-02 
                99 4.900000000000e-09 3.832352714134e-18 -2.095661518935e-01 7.942150253303e-03 2.149051757463e-02 
               100 4.950000000000e-09 3.829536274143e-18 -2.075398319527e-01 7.168260671042e-03 2.155295219077e-02 
               100 4.950000000000e-09 3.829536274143e-18 -2.075398319527e-01 7.168260671042e-03 2.155295219077e-02 
               101 5.000000000000e-09 3.826710599881e-18 -2.054494710088e-01 6.977415959209e-03 2.161728879731e-02 
               101 5.000000000000e-09 3.826710599881e-18 -2.054494710088e-01 6.977415959209e-03 2.161728879731e-02 
               102 5.050000000000e-09 3.824078154369e-18 -2.034518944765e-01 7.314780189280e-03 2.167809210346e-02 
               102 5.050000000000e-09 3.824078154369e-18 -2.034518944765e-01 7.314780189280e-03 2.167809210346e-02 
               103 5.100000000000e-09 3.821802741236e-18 -2.016789225786e-01 8.093633076707e-03 2.173142805158e-02 
               103 5.100000000000e-09 3.821802741236e-18 -2.016789225786e-01 8.093633076707e-03 2.173142805158e-02 
               104 5.150000000000e-09 3.820002288888e-18 -2.002301198522e-01 9.211841909852e-03 2.177492365868e-02 
               104 5.150000000000e-09 3.820002288888e-18 -2.002301198522e-01 9.211841909852e-03 2.177492365868e-02 
               105 5.200000000000e-09 3.818747645872e-18 -1.991701683024e-01 1.056423857203e-02 2.180746383539e-02 
               105 5.200000000000e-09 3.818747645872e-18 -1.991701683024e-01 1.056423857203e-02 2.180746383539e-02 
               106 5.250000000000e-09 3.818065391327e-18 -1.985297128208e-01 1.205007394063e-02 2.182877581757e-02 
               106 5.250000000000e-09 3.818065391327e-18 -1.985297128208e-01 1.205007394063e-02 2.182877581757e-02 
               107 5.300000000000e-09 3.817943304653e-18 -1.983087631906e-01 1.357662894039e-02 2.183908601562e-02 
               107 5.300000000000e-09 3.817943304653e-18 -1.983087631906e-01 1.357662894039e-02 2.183908601562e-02 
               108 5.350000000000e-09 3.818337454435e-18 -1.984817928861e-01 1.506057204434e-02 2.183892272425e-02 
               108 5.350000000000e-09 3.818337454435e-18 -1.984817928861e-01 1.506057204434e-02 2.183892272425e-02 
               109 5.400000000000e-09 3.819179912051e-18 -1.990036326811e-01 1.642834508979e-02 2.182905090835e-02 
               109 5.400000000000e-09 3.819179912051e-18 -1.990036326811e-01 1.642834508979e-02 2.182905090835e-02 
               110 5.450000000000e-09 3.820386165547e-18 -1.998153042077e-01 1.761638814345e-02 2.181048508954e-02 
               110 5.450000000000e-09 3.820386165547e-18 -1.998153042077e-01 1.761638814345e-02 2.181048508954e-02 
               111 5.500000000000e-09 3.821861573226e-18 -2.008491610623e-01 1.857167234057e-02 2.178452340443e-02 
               111 5.500000000000e-09 3.821861573226e-18 -2.008491610623e-01 1.857167234057e-02 2.178452340443e-02 
               112 5.550000000000e-09 3.823506598706e-18 -2.020330424941e-01 1.925278298705e-02 2.175276166653e-02 
               112 5.550000000000e-09 3.823506598706e-18 -2.020330424941e-01 1.925278298705e-02 2.175276166653e-02 
               113 5.600000000000e-09 3.825220948070e-18 -2.032934683852e-01 1.963158158546e-02 2.171706704677e-02 
               113 5.600000000000e-09 3.825220948070e-18 -2.032934683852e-01 1.963158158546e-02 2.171706704677e-02 
               114 5.650000000000e-09 3.826906960339e-18 -2.045581192623e-01 1.969523124009e-02 2.167951004404e-02 
               114 5.650000000000e-09 3.826906960339e-18 -2.045581192623e-01 1.969523124009e-02 2.167951004404e-02 
               115 5.700000000000e-09 3.828472661663e-18 -2.057579351658e-01 1.944813611965e-02 2.164226679905e-02 
               115 5.700000000000e-09 3.828472661663e-18 -2.057579351658e-01 1.944813611965e-02 2.164226679905e-02 
               116 5.750000000000e-09 3.829834843332e-18 -2.068291706714e-01 1.891320001293e-02 2.160750792741e-02 
               116 5.750000000000e-09 3.829834843332e-18 -2.068291706714e-01 1.891320001293e-02 2.160750792741e-02 
               117 5.800000000000e-09 3.830922418958e-18 -2.077156951972e-01 1.813180643128e-02 2.157728365314e-02 
               117 5.800000000000e-09 3.830922418958e-18 -2.077156951972e-01 1.813180643128e-02 2.157728365314e-02 
               118 5.850000000000e-09 3.831680159129e-18 -2.083717160366e-01 1.716206692616e-02 2.155340313914e-02 
               118 5.850000000000e-09 3.831680159129e-18 -2.083717160366e-01 1.716206692616e-02 2.155340313914e-02 
               119 5.900000000000e-09 3.832072634386e-18 -2.087648787885e-01 1.607514264054e-02 2.153729993562e-02 
               119 5.900000000000e-09 3.832072634386e-18 -2.087648787885e-01 1.607514264054e-02 2.153729993562e-02 
               120 5.950000000000e-09 3.832087807494e-18 -2.088793575654e-01 1.494977787269e-02 2.152988516169e-02 
               120 5.950000000000e-09 3.832087807494e-18 -2.088793575654e-01 1.494977787269e-02 2.152988516169e-02 
               121 6.000000000000e-09 3.831739342516e-18 -2.087181982794e-01 1.386555474601e-02 2.153141313403e-02 
               121 6.000000000000e-09 3.831739342516e-18 -2.087181982794e-01 1.386555474601e-02 2.153141313403e-02 
               122 6.050000000000e-09 3.831066600370e-18 -2.083040424101e-01 1.289572216250e-02 2.154140422872e-02 
               122 6.050000000000e-09 3.831066600370e-18 -2.083040424101e-01 1.289572216250e-02 2.154140422872e-02 
               123 6.100000000000e-09 3.830131671340e-18 -2.076776091954e-01 1.210066739078e-02 2.155866814109e-02 
               123 6.100000000000e-09 3.830131671340e-18 -2.076776091954e-01 1.210066739078e-02 2.155866814109e-02 
               124 6.150000000000e-09 3.829013565157e-18 -2.068939002584e-01 1.152307266400e-02 2.158144270799e-02 
               124 6.150000000000e-09 3.829013565157e-18 -2.068939002584e-01 1.152307266400e-02 2.158144270799e-02 
               125 6.200000000000e-09 3.827800480693e-18 -2.060167309804e-01 1.118548026082e-02 2.160762311550e-02 
               125 6.200000000000e-09 3.827800480693e-18 -2.060167309804e-01 1.118548026082e-02 2.160762311550e-02 
