#               step           E_total_1           E_total_2           E_total_3           E_total_4           E_total_5           E_total_6           E_total_7           E_total_8 
#                                      J                   J                   J                   J                   J                   J                   J                   J 
               133 -1.308109356301e-18 -1.305756486040e-18 -1.293887966124e-18 -1.250132618108e-18 -1.228463856657e-18 -1.271861285821e-18 -1.311507035358e-18 -1.327104000000e-18 
               134 -1.308109356301e-18 -1.305756670481e-18 -1.293890383373e-18 -1.250189770767e-18 -1.228473057835e-18 -1.271868168038e-18 -1.311510545083e-18 -1.327104000000e-18 
               135 -1.308109356301e-18 -1.305756849360e-18 -1.293891419477e-18 -1.250203667945e-18 -1.228478790776e-18 -1.271874431408e-18 -1.311513934860e-18 -1.327104000000e-18 
               136 -1.308109356301e-18 -1.305760894399e-18 -1.293914318020e-18 -1.250497784144e-18 -1.228599660529e-18 -1.272016276443e-18 -1.311591139269e-18 -1.327104000000e-18 
               137 -1.308109356301e-18 -1.305761877584e-18 -1.293920890723e-18 -1.250570634043e-18 -1.228626210212e-18 -1.272051826072e-18 -1.311609027723e-18 -1.327104000000e-18 
               138 -1.308109356301e-18 -1.305762885161e-18 -1.293927156325e-18 -1.250632860333e-18 -1.228647789821e-18 -1.272086823756e-18 -1.311626823068e-18 -1.327104000000e-18 
               139 -1.308109356301e-18 -1.305763274391e-18 -1.293929578857e-18 -1.250660882094e-18 -1.228660304835e-18 -1.272100329082e-18 -1.311633517154e-18 -1.327104000000e-18 
               140 -1.308109356301e-18 -1.305763719871e-18 -1.293932244463e-18 -1.250687977147e-18 -1.228669836662e-18 -1.272115402158e-18 -1.311641090465e-18 -1.327104000000e-18 
               141 -1.308109356301e-18 -1.305763937159e-18 -1.293933567176e-18 -1.250701980468e-18 -1.228674412665e-18 -1.272122710171e-18 -1.311644742481e-18 -1.327104000000e-18 
               142 -1.308109356301e-18 -1.305764507891e-18 -1.293936913965e-18 -1.250736021581e-18 -1.228686130597e-18 -1.272141757844e-18 -1.311654275958e-18 -1.327104000000e-18 
