#               time            E_Demag  E_UniformExchange            E_total                m_x                m_y                m_z            m_error          real_time          rhs_evals               step 
#                <s>                <J>                <J>                <J>                 <>                 <>                 <>                 <>                <s>                 <>                 <> 
             8.2e-10  1.28290350381e-18  2.71037559962e-18  3.99327910343e-18    -0.299785045281   -0.0432596312009    0.0188221579769  1.32727273616e-10      1578232581.85               3863                 82 
             8.3e-10  1.27636899267e-18  2.71149229059e-18  3.98786128325e-18    -0.296536145998   -0.0477608031537    0.0188183180849  1.06582409565e-10      1578232581.92               3917                 83 
             8.4e-10   1.2699763938e-18  2.71234752227e-18  3.98232391607e-18    -0.293260355708   -0.0520550773245      0.01885302135   1.0017919827e-10      1578232581.99               3971                 84 
             8.5e-10  1.26373074157e-18  2.71291868966e-18  3.97664943123e-18    -0.289911136596     -0.05610545351    0.0189421899161  1.15443654636e-10      1578232582.06               4025                 85 
             8.6e-10    1.257587628e-18  2.71323490095e-18  3.97082252895e-18    -0.286432346036    -0.059879959987    0.0190873422211  1.00460639807e-10      1578232582.13               4079                 86 
             8.7e-10  1.25146657856e-18  2.71336649428e-18  3.96483307284e-18    -0.282774480205    -0.063357229203    0.0192752343875  9.13529252244e-11      1578232582.19               4133                 87 
             8.8e-10  1.24527186615e-18  2.71340534258e-18  3.95867720874e-18    -0.278906753862   -0.0665298602497    0.0194821405267   9.9075747606e-11      1578232582.26               4185                 88 
             8.9e-10  1.23891689122e-18  2.71344022594e-18  3.95235711715e-18    -0.274821956179   -0.0694055085871      0.01968152227  9.57027790349e-11      1578232582.33               4239                 89 
               9e-10  1.23234255285e-18  2.71353719906e-18  3.94587975191e-18    -0.270533870177   -0.0720061153406    0.0198521683093  8.57728332804e-11       1578232582.4               4293                 90 
             9.1e-10  1.22552129969e-18  2.71373368221e-18  3.93925498189e-18    -0.266069595426   -0.0743654386167      0.01998362575  8.85677087226e-11      1578232582.46               4347                 91 
             9.2e-10  1.21844764435e-18  2.71404614365e-18    3.932493788e-18    -0.261460408861   -0.0765245701244    0.0200771720884  9.11731801168e-11      1578232582.53               4401                 92 
             9.3e-10  1.21112549208e-18  2.71448176435e-18  3.92560725644e-18    -0.256734572739   -0.0785251466324    0.0201427927565  8.27361512634e-11       1578232582.6               4455                 93 
             9.4e-10  1.20356407961e-18  2.71504274489e-18   3.9186068245e-18    -0.251914136015   -0.0804007849472    0.0201942873801  8.17349521398e-11      1578232582.67               4509                 94 
             9.5e-10  1.19578633082e-18  2.71571935926e-18  3.91150569008e-18    -0.247015956558   -0.0821684393423    0.0202449056186  8.57494075746e-11      1578232582.74               4563                 95 
             9.6e-10   1.1878429356e-18  2.71647784739e-18  3.90432078298e-18    -0.242055543953   -0.0838221042133    0.0203049558995  7.99544874752e-11      1578232582.81               4617                 96 
             9.7e-10  1.17982050582e-18  2.71725391612e-18  3.89707442194e-18    -0.237051361825   -0.0853310553102    0.0203814468356  7.63110685753e-11      1578232582.88               4669                 97 
             9.8e-10  1.17183523528e-18  2.71795958038e-18  3.88979481566e-18    -0.232027210611   -0.0866437344843    0.0204788328907   8.0515261125e-11      1578232582.96               4723                 98 
             9.9e-10  1.16401142427e-18  2.71850349089e-18  3.88251491516e-18    -0.227011246102   -0.0876969095058    0.0205997210719  7.75378650175e-11      1578232583.03               4777                 99 
               1e-09  1.15645224059e-18  2.71881747575e-18  3.87526971634e-18    -0.222031736174   -0.0884283433338     0.020744845658   7.3809069967e-11       1578232583.1               4831                100 
            1.01e-09  1.14921441261e-18  2.71887831157e-18  3.86809272418e-18    -0.217111181159   -0.0887901910691    0.0209123453496  7.56178453187e-11      1578232583.16               4885                101 
            1.02e-09  1.14229704872e-18  2.71871556154e-18  3.86101261026e-18    -0.212261253431   -0.0887599502063    0.0210969487411  7.48786588289e-11      1578232583.25               4939                102 
            1.03e-09  1.13564797522e-18  2.71840298083e-18  3.85405095605e-18    -0.207480787482   -0.0883462183184    0.0212898024191  7.44773132055e-11      1578232583.32               4993                103 
            1.04e-09  1.12918290122e-18  2.71803860961e-18  3.84722151084e-18    -0.202757898701   -0.0875877468029    0.0214793534421  7.42842454216e-11       1578232583.4               5047                104 
            1.05e-09  1.12280856717e-18  2.71772235549e-18  3.84053092266e-18    -0.198075746233   -0.0865459770993    0.0216531870691  7.33206828585e-11      1578232583.46               5099                105 
            1.06e-09  1.11644275231e-18  2.71753788833e-18  3.83398064065e-18    -0.193420120403   -0.0852928756121    0.0218003521317  7.41618988442e-11      1578232583.55               5153                106 
            1.07e-09  1.11002865902e-18  2.71754094832e-18  3.82756960734e-18    -0.188786411065   -0.0838969896606    0.0219136251619  7.35492777793e-11      1578232583.61               5207                107 
            1.08e-09  1.10354426008e-18  2.71775303881e-18  3.82129729889e-18    -0.184183771977   -0.0824109874134    0.0219912582693  7.19032611229e-11      1578232583.68               5261                108 
            1.09e-09  1.09700699752e-18  2.71815955863e-18  3.81516655616e-18    -0.179635283032   -0.0808634683048    0.0220378331559  7.25234317045e-11      1578232583.77               5315                109 
             1.1e-09  1.09047268038e-18  2.71871290489e-18  3.80918558528e-18    -0.175174236598   -0.0792566440594    0.0220638663313  7.27236049158e-11      1578232583.84               5369                110 
            1.11e-09  1.08402730778e-18  2.71934133702e-18  3.80336864479e-18    -0.170837865288   -0.0775698964242    0.0220839353633  7.06914526916e-11       1578232583.9               5423                111 
            1.12e-09  1.07777259876e-18  2.71996268992e-18  3.79773528868e-18    -0.166660501069    -0.075767705377    0.0221134799276  7.04476477154e-11      1578232583.98               5477                112 
            1.13e-09  1.07180868023e-18  2.72049974867e-18   3.7923084289e-18    -0.162668133099   -0.0738095157834    0.0221650040083  7.16274817236e-11      1578232584.04               5529                113 
            1.14e-09  1.06621861438e-18  2.72089310352e-18   3.7871117179e-18    -0.158875688037   -0.0716590281948    0.0222448507048  6.90650869828e-11      1578232584.11               5583                114 
            1.15e-09  1.06105847429e-18  2.72110829681e-18   3.7821667711e-18    -0.155287366308    -0.069291033763    0.0223517034496  6.68458621789e-11      1578232584.17               5636                115 
            1.16e-09  1.05635428268e-18  2.72113635839e-18  3.77749064107e-18    -0.151899391695    -0.066694873698    0.0224774010391  6.94833079962e-11      1578232584.24               5686                116 
            1.17e-09  1.05210468701e-18  2.72098915494e-18  3.77309384195e-18    -0.148703886368   -0.0638745055578    0.0226097820455   6.7055139219e-11      1578232584.37               5733                117 
            1.18e-09  1.04828676192e-18   2.7206923912e-18  3.76897915312e-18    -0.145692440864   -0.0608458101295    0.0227365141337  6.21641627063e-11      1578232584.43               5780                118 
            1.19e-09  1.04486217612e-18  2.72027920108e-18   3.7651413772e-18    -0.142858293386   -0.0576321626318    0.0228485567356  6.49721387802e-11      1578232584.49               5824                119 
             1.2e-09   1.0417819634e-18  2.71978617714e-18  3.76156814054e-18    -0.140196688777   -0.0542594612553    0.0229421474288  6.39818198422e-11      1578232584.56               5867                120 
            1.21e-09  1.03898969525e-18  2.71925199345e-18   3.7582416887e-18    -0.137703698033   -0.0507517602937    0.0230188344605  5.73510128277e-11      1578232584.62               5908                121 
            1.22e-09  1.03642412945e-18  2.71871734632e-18  3.75514147577e-18    -0.135374307631   -0.0471283848805     0.023083802612  5.88453730188e-11      1578232584.68               5948                122 
