#             steps          E_total_1          E_total_2          E_total_3          E_total_4          E_total_5          E_total_6          E_total_7          E_total_8 
#                <>                <J>                <J>                <J>                <J>                <J>                <J>                <J>                <J> 
               660 -1.308109356292e-18 -1.304865770106e-18 -1.293882468302e-18 -1.256658127613e-18 -1.227926029193e-18 -1.275191431727e-18 -1.313353955215e-18 -1.327104000000e-18 
               670 -1.308109356292e-18 -1.304872853144e-18 -1.293864645139e-18 -1.256489571093e-18 -1.227992776994e-18 -1.275173444835e-18 -1.313339550423e-18 -1.327104000000e-18 
               680 -1.308109356292e-18 -1.304880995311e-18 -1.293849560702e-18 -1.256333881296e-18 -1.228051350145e-18 -1.275155134622e-18 -1.313325815734e-18 -1.327104000000e-18 
               690 -1.308109356292e-18 -1.304890428071e-18 -1.293836594658e-18 -1.256185772706e-18 -1.228104494494e-18 -1.275135645216e-18 -1.313312316497e-18 -1.327104000000e-18 
               700 -1.308109356292e-18 -1.304900733994e-18 -1.293826190870e-18 -1.256049999361e-18 -1.228150475185e-18 -1.275116004993e-18 -1.313299364906e-18 -1.327104000000e-18 
               710 -1.308109356292e-18 -1.304912254865e-18 -1.293817794382e-18 -1.255921435958e-18 -1.228191920579e-18 -1.275095049212e-18 -1.313286574935e-18 -1.327104000000e-18 
               720 -1.308109356292e-18 -1.304924410531e-18 -1.293811753418e-18 -1.255804454817e-18 -1.228227001764e-18 -1.275074242967e-18 -1.313274208817e-18 -1.327104000000e-18 
               730 -1.308109356292e-18 -1.304937662894e-18 -1.293807586701e-18 -1.255694235650e-18 -1.228258280298e-18 -1.275052065116e-18 -1.313261946246e-18 -1.327104000000e-18 
               740 -1.308109356292e-18 -1.304951494140e-18 -1.293805445174e-18 -1.255593378750e-18 -1.228284536212e-18 -1.275029819683e-18 -1.313249918876e-18 -1.327104000000e-18 
               750 -1.308109356292e-18 -1.304966122858e-18 -1.293805090558e-18 -1.255499645970e-18 -1.228307108742e-18 -1.275006661172e-18 -1.313237998938e-18 -1.327104000000e-18 
               760 -1.308109356292e-18 -1.304981305227e-18 -1.293806469479e-18 -1.255413396573e-18 -1.228325840193e-18 -1.274983106647e-18 -1.313226194326e-18 -1.327104000000e-18 
               770 -1.308109356292e-18 -1.304997014381e-18 -1.293809454340e-18 -1.255333883883e-18 -1.228341196558e-18 -1.274959047225e-18 -1.313214464111e-18 -1.327104000000e-18 
               780 -1.308109356292e-18 -1.305013015939e-18 -1.293813894392e-18 -1.255261236467e-18 -1.228353320719e-18 -1.274934814761e-18 -1.313202874934e-18 -1.327104000000e-18 
               790 -1.308109356292e-18 -1.305029913647e-18 -1.293819837661e-18 -1.255192586205e-18 -1.228363247962e-18 -1.274909078846e-18 -1.313191086500e-18 -1.327104000000e-18 
               800 -1.308109356292e-18 -1.305046869105e-18 -1.293827008537e-18 -1.255130262481e-18 -1.228370341926e-18 -1.274883451882e-18 -1.313179450049e-18 -1.327104000000e-18 
               810 -1.308109356292e-18 -1.305064121047e-18 -1.293835371807e-18 -1.255072759573e-18 -1.228375190660e-18 -1.274857353856e-18 -1.313167813107e-18 -1.327104000000e-18 
               820 -1.308109356292e-18 -1.305081769670e-18 -1.293844912178e-18 -1.255019269370e-18 -1.228378067578e-18 -1.274830540929e-18 -1.313156081534e-18 -1.327104000000e-18 
               830 -1.308109356292e-18 -1.305099822516e-18 -1.293855591778e-18 -1.254969395541e-18 -1.228379153019e-18 -1.274802927370e-18 -1.313144224053e-18 -1.327104000000e-18 
               840 -1.308109356292e-18 -1.305118092563e-18 -1.293867254367e-18 -1.254923257238e-18 -1.228378606646e-18 -1.274774740402e-18 -1.313132335488e-18 -1.327104000000e-18 
               850 -1.308109356292e-18 -1.305136269586e-18 -1.293879691525e-18 -1.254880808231e-18 -1.228376360570e-18 -1.274746702288e-18 -1.313120461226e-18 -1.327104000000e-18 
               860 -1.308109356292e-18 -1.305154455076e-18 -1.293892873904e-18 -1.254841484783e-18 -1.228372729554e-18 -1.274718488178e-18 -1.313108571275e-18 -1.327104000000e-18 
               870 -1.308109356292e-18 -1.305172751986e-18 -1.293906804724e-18 -1.254804816929e-18 -1.228367934226e-18 -1.274689808195e-18 -1.313096623295e-18 -1.327104000000e-18 
               880 -1.308109356292e-18 -1.305190582555e-18 -1.293921288094e-18 -1.254776036908e-18 -1.228364791429e-18 -1.274662592854e-18 -1.313085039189e-18 -1.327104000000e-18 
               890 -1.308109356292e-18 -1.305209691523e-18 -1.293941478278e-18 -1.254784842790e-18 -1.228378852006e-18 -1.274645023986e-18 -1.313076440148e-18 -1.327104000000e-18 
               900 -1.308109356292e-18 -1.305228889505e-18 -1.293962596694e-18 -1.254796636960e-18 -1.228391012193e-18 -1.274627585016e-18 -1.313068081749e-18 -1.327104000000e-18 
               910 -1.308109356292e-18 -1.305247787264e-18 -1.293983819190e-18 -1.254809196698e-18 -1.228401087139e-18 -1.274610178759e-18 -1.313059700096e-18 -1.327104000000e-18 
               920 -1.308109356292e-18 -1.305266312759e-18 -1.294005022524e-18 -1.254822351117e-18 -1.228409337165e-18 -1.274592778764e-18 -1.313051334963e-18 -1.327104000000e-18 
               930 -1.308109356292e-18 -1.305285221942e-18 -1.294026996786e-18 -1.254836972717e-18 -1.228416590390e-18 -1.274574237509e-18 -1.313042795748e-18 -1.327104000000e-18 
               940 -1.308109356292e-18 -1.305303583571e-18 -1.294048754277e-18 -1.254851765918e-18 -1.228422208071e-18 -1.274555890912e-18 -1.313034304172e-18 -1.327104000000e-18 
               950 -1.308109356292e-18 -1.305321777783e-18 -1.294070674506e-18 -1.254867107157e-18 -1.228426689829e-18 -1.274537180249e-18 -1.313025770494e-18 -1.327104000000e-18 
               960 -1.308109356292e-18 -1.305339985333e-18 -1.294092955941e-18 -1.254883083958e-18 -1.228430231130e-18 -1.274517897152e-18 -1.313017118743e-18 -1.327104000000e-18 
               970 -1.308109356292e-18 -1.305358203754e-18 -1.294115579006e-18 -1.254899654523e-18 -1.228432961528e-18 -1.274498014564e-18 -1.313008360369e-18 -1.327104000000e-18 
               980 -1.308109356292e-18 -1.305375843431e-18 -1.294137846509e-18 -1.254915906910e-18 -1.228434654058e-18 -1.274478478701e-18 -1.312999664541e-18 -1.327104000000e-18 
               990 -1.308109356292e-18 -1.305393609060e-18 -1.294160538336e-18 -1.254932839562e-18 -1.228435864762e-18 -1.274458143132e-18 -1.312990857787e-18 -1.327104000000e-18 
              1000 -1.308109356292e-18 -1.305411009662e-18 -1.294183071580e-18 -1.254949648157e-18 -1.228436380446e-18 -1.274437855185e-18 -1.312982069848e-18 -1.327104000000e-18 
              1010 -1.308109356292e-18 -1.305428065035e-18 -1.294205459076e-18 -1.254966233844e-18 -1.228436238698e-18 -1.274417685613e-18 -1.312973273449e-18 -1.327104000000e-18 
              1020 -1.308109356292e-18 -1.305444795303e-18 -1.294227697048e-18 -1.254982602149e-18 -1.228435548094e-18 -1.274397613945e-18 -1.312964479107e-18 -1.327104000000e-18 
              1030 -1.308109356292e-18 -1.305461062621e-18 -1.294249575794e-18 -1.254998588491e-18 -1.228434397509e-18 -1.274377830907e-18 -1.312955772990e-18 -1.327104000000e-18 
              1040 -1.308109356292e-18 -1.305477534789e-18 -1.294271914930e-18 -1.255015140351e-18 -1.228433077985e-18 -1.274357244714e-18 -1.312946931228e-18 -1.327104000000e-18 
              1050 -1.308109356292e-18 -1.305493693917e-18 -1.294294052534e-18 -1.255031485777e-18 -1.228431457008e-18 -1.274336729002e-18 -1.312938140555e-18 -1.327104000000e-18 
              1060 -1.308109356292e-18 -1.305509236108e-18 -1.294315593961e-18 -1.255047073944e-18 -1.228429421565e-18 -1.274316906532e-18 -1.312929488937e-18 -1.327104000000e-18 
              1070 -1.308109356292e-18 -1.305524631949e-18 -1.294337107348e-18 -1.255062666802e-18 -1.228427238042e-18 -1.274296916352e-18 -1.312920850028e-18 -1.327104000000e-18 
              1080 -1.308109356292e-18 -1.305539929397e-18 -1.294358661282e-18 -1.255078250692e-18 -1.228424882343e-18 -1.274276753902e-18 -1.312912181108e-18 -1.327104000000e-18 
              1090 -1.308109356292e-18 -1.305554939805e-18 -1.294379990554e-18 -1.255093567583e-18 -1.228422361633e-18 -1.274256732831e-18 -1.312903572564e-18 -1.327104000000e-18 
              1100 -1.308109356292e-18 -1.305569650408e-18 -1.294401064958e-18 -1.255108586015e-18 -1.228419698997e-18 -1.274236896071e-18 -1.312895035799e-18 -1.327104000000e-18 
              1110 -1.308109356292e-18 -1.305584234993e-18 -1.294422109211e-18 -1.255123542395e-18 -1.228416946580e-18 -1.274216960810e-18 -1.312886502954e-18 -1.327104000000e-18 
              1120 -1.308109356292e-18 -1.305598344379e-18 -1.294442635946e-18 -1.255137931865e-18 -1.228414064895e-18 -1.274197550508e-18 -1.312878128316e-18 -1.327104000000e-18 
              1130 -1.308109356292e-18 -1.305612453298e-18 -1.294463279191e-18 -1.255152457519e-18 -1.228411179572e-18 -1.274177817600e-18 -1.312869727188e-18 -1.327104000000e-18 
              1140 -1.308109356292e-18 -1.305626030255e-18 -1.294483314545e-18 -1.255166261034e-18 -1.228408136278e-18 -1.274158802518e-18 -1.312861496932e-18 -1.327104000000e-18 
              1150 -1.308109356292e-18 -1.305639624785e-18 -1.294503457383e-18 -1.255180312726e-18 -1.228405203997e-18 -1.274139364666e-18 -1.312853278986e-18 -1.327104000000e-18 
              1160 -1.308109356292e-18 -1.305652834400e-18 -1.294523171146e-18 -1.255193870454e-18 -1.228402186384e-18 -1.274120387147e-18 -1.312845189027e-18 -1.327104000000e-18 
              1170 -1.308109356292e-18 -1.305665705245e-18 -1.294542522508e-18 -1.255206933938e-18 -1.228399044635e-18 -1.274101860992e-18 -1.312837186707e-18 -1.327104000000e-18 
              1180 -1.308109356292e-18 -1.305678279955e-18 -1.294561552128e-18 -1.255219610286e-18 -1.228395838358e-18 -1.274083677553e-18 -1.312829277664e-18 -1.327104000000e-18 
              1190 -1.308109356292e-18 -1.305690711275e-18 -1.294580436902e-18 -1.255232282534e-18 -1.228392745174e-18 -1.274065412860e-18 -1.312821463461e-18 -1.327104000000e-18 
              1200 -1.308109356292e-18 -1.305702705741e-18 -1.294598805793e-18 -1.255244246548e-18 -1.228389479443e-18 -1.274047881401e-18 -1.312813768595e-18 -1.327104000000e-18 
              1210 -1.308109356292e-18 -1.305714696790e-18 -1.294617213680e-18 -1.255256433688e-18 -1.228386381556e-18 -1.274029998245e-18 -1.312806121914e-18 -1.327104000000e-18 
              1220 -1.308109356292e-18 -1.305726177395e-18 -1.294634971646e-18 -1.255267858994e-18 -1.228383163253e-18 -1.274012960534e-18 -1.312798659418e-18 -1.327104000000e-18 
              1230 -1.308109356292e-18 -1.305737531836e-18 -1.294652596932e-18 -1.255279242779e-18 -1.228380027855e-18 -1.273995898479e-18 -1.312791273152e-18 -1.327104000000e-18 
              1240 -1.308109356292e-18 -1.305748786364e-18 -1.294670139707e-18 -1.255290549498e-18 -1.228376915198e-18 -1.273978833252e-18 -1.312783922728e-18 -1.327104000000e-18 
              1250 -1.308109356292e-18 -1.305759849764e-18 -1.294687459829e-18 -1.255301659159e-18 -1.228373827724e-18 -1.273961934138e-18 -1.312776658249e-18 -1.327104000000e-18 
              1260 -1.308109356292e-18 -1.305770541044e-18 -1.294704284711e-18 -1.255312306284e-18 -1.228370743695e-18 -1.273945563879e-18 -1.312769567735e-18 -1.327104000000e-18 
              1270 -1.308109356292e-18 -1.305781189926e-18 -1.294721098318e-18 -1.255322967914e-18 -1.228367704320e-18 -1.273929088068e-18 -1.312762495404e-18 -1.327104000000e-18 
