#               step          distance_1          distance_2          distance_3          distance_4          distance_5          distance_6          distance_7 
#                                                                                                                                                                
                82 +6.048895248578e+00 +6.008210137461e+00 +6.117922352588e+00 +6.677125307141e+00 +6.664188026629e+00 +6.648333082877e+00 +6.679089974506e+00 
                83 +6.011685478640e+00 +6.024437467572e+00 +6.219160493247e+00 +6.742158679428e+00 +6.754366061505e+00 +6.693954804679e+00 +6.687081888037e+00 
                84 +6.005728939282e+00 +6.028160955831e+00 +6.211248043188e+00 +6.743130514641e+00 +6.769350186186e+00 +6.702610772972e+00 +6.689321732027e+00 
                85 +6.002045926086e+00 +6.030417641357e+00 +6.216850974531e+00 +6.747388260040e+00 +6.777621680258e+00 +6.707918821604e+00 +6.690842777053e+00 
                86 +6.000406462211e+00 +6.031451653957e+00 +6.218861810373e+00 +6.751786238218e+00 +6.781679796463e+00 +6.710296476626e+00 +6.691553632598e+00 
                87 +5.998773624779e+00 +6.032504512794e+00 +6.221472722499e+00 +6.754643361024e+00 +6.785755867378e+00 +6.712751651135e+00 +6.692285607623e+00 
                88 +5.997892940918e+00 +6.033080743932e+00 +6.222952149849e+00 +6.756175693645e+00 +6.787949772045e+00 +6.714086740058e+00 +6.692690155421e+00 
                89 +5.995750763068e+00 +6.034506663840e+00 +6.226722711298e+00 +6.759990374182e+00 +6.793317322292e+00 +6.717359339931e+00 +6.693695821424e+00 
                90 +5.994585760105e+00 +6.035297687750e+00 +6.228864933949e+00 +6.762122108731e+00 +6.796249586396e+00 +6.719158133667e+00 +6.694260488393e+00 
                91 +5.906512171275e+00 +6.110087202295e+00 +6.429595735628e+00 +6.961774104379e+00 +7.050340216727e+00 +6.883877123401e+00 +6.759796117448e+00 
                92 +5.905962966873e+00 +6.111437518796e+00 +6.434310611784e+00 +6.966771823398e+00 +7.051885720082e+00 +6.885992312911e+00 +6.761367053810e+00 
                93 +5.905685980758e+00 +6.112123995023e+00 +6.435891599873e+00 +6.968556631995e+00 +7.052694534622e+00 +6.887079820854e+00 +6.762181729189e+00 
